,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,lab,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,hsrb,0.965,-0.004,0.02,-0.0,-0.0,-1.0,-0.005
3,table849,0.0,4.0,0.02,0.0,-0.0,-0.0,1.0
4,shelf905,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa242,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet218,4.5,-4.8,0.02,0.015,-0.015,0.707,0.707
7,plate670,0.694,4.314,0.495,0.0,0.0,-0.015,1.0
8,spoon366,0.381,3.831,0.497,-0.008,-0.0,-0.0,1.0
9,saltshaker243,0.765,3.607,0.495,-0.001,0.0,0.997,-0.076
10,fork106,0.195,4.125,0.499,-0.011,-0.0,0.0,1.0
11,plate318,-1.066,3.92,0.495,-0.0,0.0,-0.0,1.0
12,spoon129,0.464,3.918,0.497,-0.007,-0.0,-0.0,1.0
13,saltshaker940,0.659,3.787,0.495,-0.0,0.0,0.999,0.055
14,spoon100,0.969,4.439,0.497,-0.007,0.0,0.001,1.0
