,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,lab,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,hsrb,0.0,-0.002,0.02,0.0,-0.0,-0.023,1.0
3,table755,-0.0,4.0,0.02,0.0,-0.0,-0.0,1.0
4,shelf609,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa41,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet828,4.5,-4.8,0.02,0.015,-0.015,0.707,0.707
7,mug979,0.618,3.729,0.495,0.0,-0.0,0.043,0.999
8,plate372,-0.567,4.524,0.495,-0.0,-0.0,0.001,1.0
9,saltshaker282,0.58,3.87,0.495,0.0,0.0,0.045,0.999
10,saltshaker462,0.429,3.575,0.495,0.0,0.0,0.039,0.999
11,glass997,0.911,4.282,0.495,-0.0,0.0,0.0,1.0
12,spoon757,0.481,4.409,0.497,-0.003,-0.0,0.0,1.0
13,glass289,-0.08,4.446,0.495,-0.0,-0.0,0.0,1.0
14,fork116,1.053,3.63,0.499,-0.01,0.0,-0.0,1.0
15,minicoffeetable836,2.0,-3.0,0.0,0.0,0.0,0.0,1.0
16,minicoffeetable278,-2.0,0.0,0.0,0.0,0.0,0.0,1.0
17,minicoffeetable600,-1.0,1.0,0.0,0.0,0.0,0.0,1.0
18,minicoffeetable397,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0
