,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,lab,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,table643,0.001,3.999,0.02,-0.0,0.0,0.0,1.0
3,hsrb,-0.0,-0.0,0.02,0.0,0.0,-0.004,1.0
4,shelf28,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa527,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet782,4.5,-4.8,0.02,0.015,-0.015,0.707,0.707
7,saltshaker707,0.569,4.043,0.495,0.0,-0.0,0.001,1.0
8,mug797,0.615,4.472,0.495,0.0,-0.0,0.013,1.0
9,plate153,-0.525,4.353,0.495,0.0,-0.0,-0.015,1.0
10,saltshaker11,-0.981,3.673,0.495,0.0,-0.0,0.002,1.0
11,bottle296,-0.934,3.862,0.495,0.0,-0.0,-0.001,1.0
12,spoon354,-0.298,3.796,0.497,-0.012,-0.0,0.0,1.0
13,mug205,-0.425,3.561,0.495,0.0,-0.0,0.003,1.0
14,knife709,0.253,4.255,0.505,0.001,-0.002,0.001,1.0
15,coffeetable,0.8,0.0,0.02,0.0,0.0,0.0,1.0
16,glass,0.6,0.0,0.725,0.009,-0.01,0.002,1.0
