,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,room977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,hsrb,0.18,-0.414,0.02,0.0,-0.0,0.395,0.919
3,table0,0.0,4.0,0.02,0.0,-0.0,0.0,1.0
4,shelf816,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa468,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet682,4.5,-4.8,0.02,0.031,-0.031,0.706,0.706
7,saltshaker408,-1.093,4.474,0.504,-0.0,0.0,0.011,1.0
8,plate853,-0.872,4.12,0.495,0.0,0.0,-0.023,1.0
9,mug69,0.411,3.766,0.495,0.0,0.0,0.335,0.942
10,fork853,1.023,4.443,0.498,-0.022,0.0,-0.0,1.0
11,bottle305,-1.155,3.758,0.495,0.0,-0.0,0.003,1.0
12,spoon231,0.152,4.02,0.497,-0.007,-0.0,-0.0,1.0
13,bottle410,-0.559,3.647,0.495,-0.0,0.0,0.005,1.0
14,saltshaker516,0.301,3.854,0.495,0.0,-0.0,0.002,1.0
15,minicoffeetable,0.8,0.0,0.02,-0.0,-0.0,-0.0,1.0
16,glass,0.706,0.001,0.445,0.0,0.0,0.117,0.993
