,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,room,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,hsrb,0.006,-0.003,0.02,0.0,0.0,-0.028,1.0
3,table95,0.0,4.0,0.02,-0.0,0.0,-0.0,1.0
4,shelf247,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa158,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet589,4.5,-4.8,0.02,0.031,-0.031,0.706,0.706
7,bottle725,-1.01,4.277,0.495,0.0,-0.0,-0.002,1.0
8,plate339,0.95,4.087,0.495,0.0,-0.0,-0.017,1.0
9,bottle364,0.829,3.514,0.495,0.0,-0.0,0.003,1.0
10,glass4,-1.13,3.642,0.495,0.0,-0.0,0.001,1.0
11,plate557,0.317,4.546,0.495,0.0,-0.0,0.063,0.998
12,bottle570,-0.838,3.582,0.495,0.0,-0.0,0.006,1.0
13,bottle256,-0.747,4.489,0.495,0.0,-0.0,0.001,1.0
14,plate305,0.166,3.59,0.495,0.0,-0.0,-0.072,0.997
15,minicoffeetable,0.806,-0.003,0.02,-0.0,-0.0,-0.0,1.0
16,glass,0.756,-0.003,0.446,0.006,-0.007,0.001,1.0
