,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,room,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,hsrb,0.001,-0.002,0.02,0.0,-0.0,-0.022,1.0
3,table272,-0.0,4.0,0.02,-0.0,0.0,-0.0,1.0
4,shelf827,4.8,3.0,0.025,0.0,0.0,0.707,0.707
5,sofa479,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
6,cabinet773,4.5,-4.8,0.02,0.031,-0.031,0.706,0.706
7,bottle640,-0.641,4.35,0.495,0.0,-0.0,-0.0,1.0
8,plate621,0.98,4.033,0.495,0.0,0.0,-0.001,1.0
9,fork393,0.116,3.888,0.499,-0.0,-0.0,0.0,1.0
10,glass514,-0.5,4.096,0.495,0.0,-0.0,-0.0,1.0
11,fork812,0.489,4.408,0.499,-0.0,-0.0,-0.0,1.0
12,spoon192,1.082,3.485,0.504,0.0,0.0,0.0,1.0
13,plate82,-1.013,4.473,0.52,0.0,0.0,0.0,1.0
14,mug916,0.896,3.479,0.525,0.0,0.0,0.0,1.0
