,0,1,2,3,4,5,6,7
0,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4
1,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,lab,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,table197,0.0,4.0,0.02,0.0,0.0,-0.0,1.0
4,hsrb,0.002,-0.0,0.02,-0.0,0.0,0.69,0.724
5,shelf175,4.8,3.0,0.025,0.0,0.0,0.707,0.707
6,sofa341,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707
7,cabinet264,4.5,-4.8,0.02,0.015,-0.015,0.707,0.707
8,mug796,0.692,4.363,0.495,-0.0,-0.0,0.003,1.0
9,bottle10,0.142,3.981,0.495,0.0,-0.0,-0.0,1.0
10,fork775,-0.769,3.771,0.499,-0.0,-0.0,0.0,1.0
11,glass662,0.502,4.471,0.495,-0.0,-0.0,0.0,1.0
12,saltshaker704,0.578,3.615,0.496,-0.011,-0.0,-0.01,1.0
13,bottle534,-0.94,4.305,0.515,0.0,0.0,0.0,1.0
14,knife169,0.003,4.225,0.533,0.0,0.0,0.0,1.0
15,mug154,-0.463,3.67,0.54,0.0,0.0,0.0,1.0
